timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-16T22:08:45Z;pqc_client;0.00%;9.402MiB / 7.751GiB;0.12%;4.02MB / 1.75MB;6.21MB / 23MB;1
2026-05-16T22:08:45Z;pqc_client_2;0.00%;7.293MiB / 7.751GiB;0.09%;4.02MB / 1.75MB;524kB / 22.7MB;1
2026-05-16T22:08:45Z;pqc_client_3;0.00%;7.363MiB / 7.751GiB;0.09%;3.64MB / 1.59MB;1.56MB / 20.9MB;1
2026-05-16T22:08:45Z;pqc_client_4;10.10%;6.543MiB / 7.751GiB;0.08%;3.64MB / 1.58MB;0B / 20.4MB;1
2026-05-16T22:08:45Z;pqc_client_5;0.00%;6.84MiB / 7.751GiB;0.09%;3.63MB / 1.58MB;532kB / 20.2MB;1
2026-05-16T22:08:45Z;pqc_client_6;0.00%;11.12MiB / 7.751GiB;0.14%;3.64MB / 1.58MB;10.3MB / 20.1MB;1
2026-05-16T22:08:45Z;pqc_server;0.00%;8.629MiB / 7.751GiB;0.11%;9.79MB / 22.6MB;15.6MB / 0B;2
2026-05-16T22:08:45Z;pqc_monitor;0.18%;9.426MiB / 7.751GiB;0.12%;32.4MB / 32.3MB;15.2MB / 76.6MB;2
2026-05-16T22:08:49Z;pqc_client;0.00%;9.402MiB / 7.751GiB;0.12%;4.02MB / 1.75MB;6.21MB / 23MB;1
2026-05-16T22:08:49Z;pqc_client_2;0.00%;7.293MiB / 7.751GiB;0.09%;4.02MB / 1.75MB;524kB / 22.7MB;1
2026-05-16T22:08:49Z;pqc_client_3;0.00%;7.363MiB / 7.751GiB;0.09%;3.64MB / 1.59MB;1.56MB / 20.9MB;1
2026-05-16T22:08:49Z;pqc_client_4;0.00%;6.543MiB / 7.751GiB;0.08%;3.64MB / 1.58MB;0B / 20.4MB;1
2026-05-16T22:08:49Z;pqc_client_5;0.00%;6.84MiB / 7.751GiB;0.09%;3.63MB / 1.58MB;532kB / 20.2MB;1
2026-05-16T22:08:49Z;pqc_client_6;0.00%;11.12MiB / 7.751GiB;0.14%;3.64MB / 1.58MB;10.3MB / 20.1MB;1
2026-05-16T22:08:49Z;pqc_server;0.00%;8.629MiB / 7.751GiB;0.11%;9.79MB / 22.6MB;15.6MB / 0B;2
2026-05-16T22:08:49Z;pqc_monitor;0.02%;9.422MiB / 7.751GiB;0.12%;32.4MB / 32.3MB;15.2MB / 76.7MB;2
2026-05-16T22:08:52Z;pqc_client;0.00%;9.402MiB / 7.751GiB;0.12%;4.02MB / 1.75MB;6.21MB / 23MB;1
2026-05-16T22:08:52Z;pqc_client_2;0.00%;7.293MiB / 7.751GiB;0.09%;4.02MB / 1.75MB;524kB / 22.7MB;1
2026-05-16T22:08:52Z;pqc_client_3;0.00%;7.363MiB / 7.751GiB;0.09%;3.64MB / 1.59MB;1.56MB / 20.9MB;1
2026-05-16T22:08:52Z;pqc_client_4;0.00%;6.543MiB / 7.751GiB;0.08%;3.64MB / 1.58MB;0B / 20.4MB;1
2026-05-16T22:08:52Z;pqc_client_5;0.00%;6.84MiB / 7.751GiB;0.09%;3.63MB / 1.58MB;532kB / 20.2MB;1
2026-05-16T22:08:52Z;pqc_client_6;0.00%;11.12MiB / 7.751GiB;0.14%;3.64MB / 1.58MB;10.3MB / 20.1MB;1
2026-05-16T22:08:52Z;pqc_server;0.00%;8.629MiB / 7.751GiB;0.11%;9.79MB / 22.6MB;15.6MB / 0B;2
2026-05-16T22:08:52Z;pqc_monitor;0.10%;9.422MiB / 7.751GiB;0.12%;32.4MB / 32.3MB;15.2MB / 76.7MB;2
